5,0.008,0.015,0.764,0.997,0.870,0.999,1.000,0.973,0.914,0.855,0.793,0.729,0.669,0.633,0.573,0.378,0.301,0.338,0.419,0.395,0.339,0.343,0.287,0.109
5,0.007,0.015,0.762,0.970,0.876,0.994,1.000,0.983,0.926,0.865,0.802,0.740,0.679,0.633,0.607,0.450,0.320,0.300,0.376,0.414,0.356,0.336,0.301,0.212
5,0.015,0.030,0.794,0.885,0.878,1.000,1.000,0.978,0.923,0.843,0.776,0.702,0.660,0.558,0.381,0.378,0.452,0.426,0.385,0.359,0.263,0.000,0.000,0.000
5,0.013,0.025,0.787,0.944,0.942,1.000,1.000,0.991,0.910,0.841,0.772,0.703,0.671,0.585,0.387,0.380,0.447,0.447,0.387,0.373,0.286,0.053,0.000,0.000
5,0.012,0.024,0.810,0.800,0.568,0.921,1.000,1.000,1.000,0.981,0.929,0.861,0.801,0.740,0.691,0.590,0.415,0.410,0.470,0.454,0.413,0.410,0.363,0.298
5,0.012,0.024,0.811,0.815,0.576,0.942,1.000,1.000,0.995,0.935,0.866,0.793,0.730,0.645,0.588,0.440,0.394,0.465,0.475,0.387,0.346,0.175,0.000,0.000
5,0.012,0.025,0.778,0.971,0.946,1.000,1.000,0.995,0.927,0.864,0.787,0.719,0.684,0.618,0.438,0.377,0.461,0.473,0.412,0.389,0.340,0.122,0.000,0.000
5,0.012,0.025,0.792,0.987,0.949,1.000,1.000,0.970,0.912,0.853,0.781,0.710,0.675,0.613,0.422,0.359,0.435,0.475,0.419,0.394,0.350,0.219,0.000,0.000
5,0.012,0.025,0.796,0.966,0.958,1.000,1.000,0.979,0.909,0.845,0.780,0.714,0.667,0.602,0.419,0.377,0.445,0.464,0.403,0.382,0.319,0.066,0.000,0.000
5,0.015,0.031,0.776,0.850,0.833,0.996,1.000,1.000,0.959,0.902,0.845,0.784,0.722,0.682,0.624,0.510,0.363,0.359,0.441,0.457,0.392,0.367,0.314,0.139
5,0.005,0.010,0.760,0.971,0.855,0.999,0.999,0.974,0.912,0.847,0.783,0.717,0.662,0.643,0.523,0.343,0.327,0.408,0.424,0.357,0.361,0.309,0.208,0.005
5,0.013,0.026,0.788,0.828,0.839,0.997,1.000,1.000,0.968,0.914,0.851,0.790,0.727,0.678,0.644,0.532,0.382,0.376,0.445,0.460,0.399,0.385,0.342,0.129
5,0.005,0.010,0.798,0.792,0.472,0.894,0.990,0.998,0.971,0.911,0.851,0.785,0.722,0.674,0.598,0.529,0.357,0.321,0.399,0.436,0.376,0.357,0.297,0.120
5,0.013,0.024,0.779,0.969,0.940,1.000,1.000,0.992,0.938,0.891,0.826,0.763,0.714,0.667,0.651,0.544,0.385,0.357,0.419,0.448,0.414,0.388,0.365,0.289
5,0.013,0.025,0.785,0.993,0.869,0.997,1.000,0.995,0.964,0.910,0.858,0.792,0.738,0.694,0.642,0.533,0.396,0.385,0.459,0.481,0.413,0.399,0.350,0.199
5,0.012,0.024,0.801,0.882,0.873,1.000,1.000,1.000,0.943,0.887,0.819,0.746,0.694,0.639,0.510,0.374,0.404,0.483,0.442,0.399,0.388,0.293,0.025,0.000
5,0.013,0.024,0.772,0.982,0.905,1.000,1.000,0.997,0.963,0.889,0.828,0.772,0.717,0.669,0.653,0.513,0.365,0.365,0.442,0.447,0.392,0.376,0.341,0.246
5,0.013,0.025,0.797,0.769,0.564,0.970,1.000,1.000,0.970,0.899,0.822,0.754,0.698,0.639,0.417,0.365,0.459,0.447,0.386,0.375,0.319,0.126,0.000,0.000
5,0.013,0.025,0.781,0.919,0.929,1.000,1.000,0.997,0.951,0.893,0.831,0.773,0.702,0.683,0.634,0.464,0.377,0.413,0.462,0.432,0.407,0.374,0.295,0.027
5,0.009,0.018,0.777,0.981,0.932,1.000,1.000,0.992,0.934,0.872,0.804,0.745,0.678,0.660,0.575,0.381,0.324,0.411,0.435,0.393,0.367,0.341,0.264,0.016
5,0.012,0.024,0.778,0.962,0.922,1.000,1.000,0.998,0.956,0.892,0.823,0.747,0.705,0.673,0.463,0.357,0.433,0.486,0.410,0.394,0.346,0.157,0.000,0.000
5,0.015,0.030,0.808,0.756,0.647,0.973,1.000,1.000,0.967,0.900,0.837,0.760,0.710,0.627,0.407,0.443,0.467,0.443,0.413,0.360,0.250,0.000,0.000,0.000
5,0.012,0.025,0.808,0.827,0.607,0.967,1.000,1.000,0.976,0.902,0.838,0.774,0.702,0.631,0.540,0.383,0.438,0.483,0.443,0.388,0.293,0.055,0.000,0.000
5,0.012,0.025,0.793,0.808,0.752,0.990,1.000,0.990,0.955,0.883,0.810,0.743,0.688,0.619,0.500,0.367,0.431,0.469,0.436,0.383,0.333,0.138,0.000,0.000
5,0.012,0.023,0.792,0.925,0.937,1.000,1.000,0.978,0.931,0.870,0.799,0.740,0.682,0.652,0.548,0.387,0.355,0.439,0.442,0.396,0.385,0.316,0.100,0.000
5,0.007,0.015,0.770,0.986,0.924,1.000,1.000,0.984,0.929,0.865,0.805,0.741,0.678,0.649,0.590,0.387,0.316,0.376,0.436,0.404,0.358,0.353,0.295,0.096
5,0.015,0.030,0.779,0.889,0.836,1.000,1.000,1.000,0.988,0.932,0.868,0.804,0.744,0.688,0.660,0.560,0.404,0.356,0.416,0.444,0.420,0.380,0.356,0.272
5,0.015,0.030,0.782,0.989,0.950,1.000,1.000,0.980,0.927,0.850,0.780,0.703,0.677,0.580,0.407,0.417,0.483,0.450,0.410,0.357,0.223,0.000,0.000,0.000
5,0.012,0.026,0.815,0.756,0.503,0.940,1.000,1.000,0.994,0.966,0.894,0.833,0.782,0.724,0.675,0.575,0.391,0.463,0.474,0.457,0.420,0.408,0.362,0.290
5,0.009,0.018,0.770,0.984,0.958,1.000,1.000,0.991,0.944,0.883,0.821,0.752,0.686,0.655,0.585,0.391,0.321,0.374,0.430,0.405,0.361,0.347,0.277,0.054
5,0.012,0.025,0.816,0.754,0.499,0.883,0.998,1.000,0.988,0.946,0.852,0.789,0.733,0.646,0.475,0.396,0.466,0.431,0.405,0.377,0.337,0.105,0.000,0.000
5,0.007,0.015,0.773,0.997,0.918,1.000,1.000,0.983,0.926,0.861,0.804,0.739,0.681,0.651,0.606,0.425,0.325,0.346,0.431,0.426,0.364,0.369,0.316,0.173
5,0.012,0.025,0.797,0.775,0.604,0.981,1.000,1.000,0.972,0.904,0.831,0.763,0.707,0.660,0.459,0.361,0.452,0.459,0.403,0.382,0.328,0.180,0.000,0.000
5,0.012,0.024,0.807,0.762,0.524,0.927,1.000,1.000,0.991,0.930,0.864,0.798,0.735,0.676,0.562,0.388,0.415,0.458,0.424,0.390,0.365,0.308,0.063,0.000
5,0.013,0.026,0.778,0.919,0.847,0.997,1.000,0.992,0.946,0.879,0.828,0.757,0.701,0.664,0.636,0.514,0.364,0.350,0.424,0.444,0.398,0.379,0.342,0.215
5,0.012,0.025,0.800,0.963,0.910,1.000,1.000,0.990,0.938,0.869,0.802,0.736,0.683,0.626,0.445,0.364,0.433,0.474,0.410,0.400,0.314,0.062,0.000,0.000
5,0.016,0.030,0.769,0.943,0.953,1.000,1.000,0.988,0.925,0.871,0.816,0.753,0.694,0.663,0.627,0.443,0.341,0.373,0.443,0.439,0.388,0.384,0.333,0.212
5,0.012,0.025,0.801,0.982,0.943,1.000,1.000,0.990,0.931,0.864,0.795,0.736,0.690,0.617,0.433,0.367,0.450,0.493,0.407,0.400,0.329,0.060,0.000,0.000
5,0.012,0.024,0.786,0.906,0.732,0.987,1.000,1.000,0.971,0.902,0.846,0.766,0.701,0.676,0.491,0.362,0.393,0.464,0.413,0.397,0.355,0.283,0.022,0.000
5,0.012,0.023,0.782,0.932,0.892,1.000,1.000,0.989,0.944,0.887,0.814,0.753,0.693,0.671,0.591,0.411,0.359,0.435,0.474,0.407,0.383,0.344,0.177,0.000
5,0.012,0.025,0.779,0.900,0.855,0.998,1.000,0.980,0.921,0.855,0.785,0.719,0.660,0.628,0.503,0.351,0.370,0.429,0.422,0.365,0.340,0.195,0.000,0.000
5,0.012,0.025,0.801,0.894,0.685,0.990,1.000,1.000,0.971,0.901,0.833,0.760,0.700,0.622,0.528,0.380,0.416,0.462,0.438,0.390,0.339,0.104,0.000,0.000
5,0.013,0.024,0.775,0.936,0.921,1.000,1.000,0.992,0.963,0.902,0.841,0.770,0.709,0.677,0.624,0.444,0.347,0.405,0.476,0.442,0.402,0.365,0.320,0.106
